Country,Year,HIV/AIDS
Ecuador,1990,66
Ecuador,1991,92
Ecuador,1992,102
Ecuador,1993,128
Ecuador,1994,160
Ecuador,1995,103
Ecuador,1996,140
Ecuador,1997,225
Ecuador,1998,241
Ecuador,1999,298
Ecuador,2000,351
Ecuador,2001,474
Ecuador,2002,564
Ecuador,2003,636
Ecuador,2004,727
Ecuador,2005,862
Ecuador,2006,988
Ecuador,2007,945
Ecuador,2008,979
Ecuador,2009,1023
Ecuador,2010,1051
Ecuador,2011,982
Ecuador,2012,1051
Ecuador,2013,1144
Ecuador,2014,1229
Ecuador,2015,1187
Ecuador,2016,1220
Ecuador,2017,1223
Ecuador,2018,1218
Ecuador,2019,1207
